,Title,Link,Upload Date,View Count,Absolute Upload Date
437,What we know about North Korea’s food shortages | Al Jazeera Newsfeed,https://www.youtube.com/watch?v=2YYmZFgQAqs&pp=ygUKa29yZWEgZm9vZA%3D%3D,2일 전,조회수 6489만회,2024-06-29 00:00:00
438,eating ONLY Korean food for a day in NYC,https://www.youtube.com/watch?v=zFE38nnfCcc&pp=ygUKa29yZWEgZm9vZA%3D%3D,1년 전,조회수 3.1천회,2023-07-02 00:00:00
439,How to eat chicken,https://www.youtube.com/shorts/MAkRd57FKKc,2년 전,조회수 558만회,2022-07-02 00:00:00
440,슬라임과 함께하는 편의점먹방  스톱모션! 😋Korean Convenience store food MUKBANG with SLIME!😋,https://www.youtube.com/watch?v=vNkV-I6HFag&pp=ygUKa29yZWEgZm9vZA%3D%3D,1년 전,조회수 575만회,2023-07-02 00:00:00
441,한식뷔페 Korean buffet pt85,https://www.youtube.com/shorts/05pjx5f_K7Y,3일 전,조회수 468회,2024-06-28 00:00:00
442,더블 치즈 팬케이크 - 한국 길거리 음식 #short,https://www.youtube.com/shorts/0dQonkmCpxg,6일 전,조회수 1만회,2024-06-25 00:00:00
443,"직접 뽑아 만드는 차돌 떡볶이, 모듬튀김 / homemade tteokbokki, fried food - korean street food",https://www.youtube.com/watch?v=jSgL-IB7I2U&pp=ygUKa29yZWEgZm9vZA%3D%3D,8개월 전,조회수 97만회,2023-11-04 00:00:00
444,"What I eat in a day in 대전, Korea #korea #food",https://www.youtube.com/shorts/-Nnr4fhhIvI,1년 전,조회수 415회,2023-07-02 00:00:00
445,Best korean food #korea #food #comedyvideo #reaction 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,https://www.youtube.com/shorts/Hv16YXsEEio,2주 전,조회수 62만회,2024-06-17 00:00:00
446,"대한민국 최초 야시장이래요😮부산 깡통 야시장 먹방 | 솥뚜껑 삼겹살, 가래떡 떡볶이, 반쎄오, 차돌박이 야끼우동, 소고기 불초밥, 스카치에그 Korean Market Mukbang",https://www.youtube.com/watch?v=geSfDan6gc0&pp=ygUKa29yZWEgZm9vZA%3D%3D,6일 전,조회수 1166만회,2024-06-25 00:00:00
447,Korean spicy crab noodle soup 🍜 😋 #korea #food,https://www.youtube.com/shorts/vqGuckwAV8w,4일 전,조회수 27만회,2024-06-27 00:00:00
448,What does food tell us about North Korea? | Fork the System,https://www.youtube.com/watch?v=iX6WvrzSiYI&pp=ygUKa29yZWEgZm9vZA%3D%3D,4년 전,조회수 9207만회,2020-07-02 00:00:00
449,🤔 WHO is BETTER at eating rice? Koreans vs.Indians //  indian food eating mukbang show challenge,https://www.youtube.com/shorts/tD1lJrNy2A8,5일 전,조회수 1233만회,2024-06-26 00:00:00
450,shopping in korea vlog 🇰🇷 grocery food haul with prices 🥬 snacks unboxing & cooking,https://www.youtube.com/watch?v=QJIwws_kk-Q&pp=ygUKa29yZWEgZm9vZA%3D%3D,12일 전,조회수 190만회,2024-06-19 00:00:00
451,Ponyo Ramen by studio Ghibli!🍜 #cooking #ramen #ramennoodles #anime #studioghibli #food #japan,https://www.youtube.com/shorts/fkzESUfv6Bs,9일 전,조회수 1.9만회,2024-06-22 00:00:00
452,만드는 방법 가래떡 + 떡볶이 (매우 쉬운) Tteokbokki + Rice Cake [Super Easy],https://www.youtube.com/watch?v=UxpWM7ISoUM&pp=ygUKa29yZWEgZm9vZA%3D%3D,6일 전,조회수 57회,2024-06-25 00:00:00
453,"봄 되면 꼭 먹는 봄나물 전 - 메밀 미나리전 5,000원 - 한국 길거리 음식 #shorts",https://www.youtube.com/shorts/DibONZPZKyI,2년 전,조회수 387만회,2022-07-02 00:00:00
454,수제 치즈 소스로 만든 미국식 딥치즈 더블 버거 - Korean Street Food,https://www.youtube.com/watch?v=Nbo4qT-OrRc&pp=ygUKa29yZWEgZm9vZA%3D%3D,6년 전,조회수 1243만회,2018-07-03 00:00:00
455,#korea #food #숏밥스 #밥처럼음악처럼 #music #eat #delicious #계란찜 #살아있네 #맛집 #좋아요 #구독 #please,https://www.youtube.com/shorts/0ZVjJTlkODc,1년 전,조회수 248회,2023-07-02 00:00:00
456,"vlog | 마트에서 장보고 🥒든든한 집밥 요리, 강연 다녀온 후 후추랑 낮잠, 새콤달콤 사과잼🍎",https://www.youtube.com/watch?v=sPZJzirIRjM&pp=ygUKa29yZWEgZm9vZA%3D%3D,2년 전,조회수 3.8만회,2022-07-02 00:00:00
457,Korean Convenience Store Food Mukbang 주황색 편의점 디저트 아이스크림 젤리 먹방! ORANGE DESSERT JELLY CANDY | HIU 하이유,https://www.youtube.com/watch?v=HN0gSqRgEts&pp=ygUKa29yZWEgZm9vZA%3D%3D,5개월 전,조회수 3.3천회,2024-02-02 00:00:00
458,🇰🇷𝓚𝓞𝓡𝓔𝓐 𝓕𝓞𝓞𝓓 𝓡𝓔𝓛𝓐𝓨 📝5탄 - 다물꼬치#맛집 #캠핑요리 #꼬치 #이자카야 #협찬,https://www.youtube.com/shorts/JwGShYYwITc,1년 전,조회수 1336만회,2023-07-02 00:00:00
